actors0,actors1,actors2,year,id,type,genres2,genres3,directors1,genres4,genres5,genres6,genres7,genres8,genres9,directors2
Bruce Willis,Madeleine Stowe,Brad Pitt,1995,tt0114746,add,Thriller,,,,,,,,,
Jonny Weston,Gerard Butler,Elisabeth Shue,2012,tt1629757,add,,,Curtis Hanson,,,,,,,
Channing Tatum,Jenna Dewan-Tatum,Damaine Radcliff,2006,tt0462590,add,Music,Romance,,,,,,,,
Natalie Portman,Dustin Hoffman,Jason Bateman,2007,tt0457419,add,Fantasy,,,,,,,,,
Kate Winslet,Ralph Fiennes,Bruno Ganz,2008,tt0976051,add,,,,,,,,,,
Naomi Watts,Laura Harring,Justin Theroux,2001,tt0166924,add,Mystery,Thriller,,,,,,,,
Anna Kendrick,John Francis Daley,Ken Jeong,2013,tt1879032,add,,,,,,,,,,
Richard Gere,Julia Roberts,Jason Alexander,1990,tt0100405,add,,,,,,,,,,
Henry Fonda,Charles Bronson,Claudia Cardinale,1968,tt0064116,add,,,,,,,,,,
Kevin Costner,Sean Connery,Robert De Niro,1987,tt0094226,add,History,Thriller,,,,,,,,
James Stewart,Kim Novak,Barbara Bel Geddes,1958,tt0052357,add,Thriller,,,,,,,,,
Chieko Baishô,Takuya Kimura,Tatsuya Gashûin,2004,tt0347149,add,Adventure,Family,,Fantasy,Romance,,,,,
James Franco,Andy Serkis,Freida Pinto,2011,tt1318514,add,Sci-Fi,Thriller,,,,,,,,
Sean Penn,Jennifer Jason Leigh,Judge Reinhold,1982,tt0083929,add,Romance,,,,,,,,,
Adelaide Clemens,Kit Harington,Sean Bean,2012,tt0938330,add,Thriller,,,,,,,,,
Sigourney Weaver,William Hurt,Joaquin Phoenix,2004,tt0368447,add,Thriller,,,,,,,,,
Gerardo Taracena,Raoul Trujillo,Dalia Hernández,2006,tt0472043,add,Drama,Thriller,,,,,,,,
Adam Sandler,Kate Beckinsale,Christopher Walken,2006,tt0389860,add,Fantasy,Romance,,,,,,,,
Peter Sellers,George C. Scott,Sterling Hayden,1964,tt0057012,add,War,,,,,,,,,
Jim Sturgess,Ed Harris,Colin Farrell,2010,tt1023114,add,History,,,,,,,,,
Ben Stiller,Cameron Diaz,Matt Dillon,1998,tt0129387,add,,,Peter Farrelly,,,,,,,
Ioan Gruffudd,Michael Chiklis,Chris Evans,2005,tt0120667,add,Fantasy,Sci-Fi,,,,,,,,
Demi Moore,David Duchovny,Amber Heard,2009,tt1285309,add,,,,,,,,,,
Adam O'Brian,Anna Ruben,Cathy Dresbach,2012,tt1966604,add,,,,,,,,,,
Robert Pattinson,Emilie de Ravin,Caitlyn Rund,2010,tt1403981,add,,,,,,,,,,
Christopher Reeve,Margot Kidder,Gene Hackman,1978,tt0078346,add,Fantasy,Sci-Fi,,,,,,,,
Leonardo DiCaprio,Kate Winslet,Christopher Fitzgerald,2008,tt0959337,add,,,,,,,,,,
Sam Neill,William H. Macy,Téa Leoni,2001,tt0163025,add,Fantasy,Sci-Fi,,Thriller,,,,,,
Donnie Yen,Simon Yam,Siu-Wong Fan,2008,tt1220719,add,Drama,History,,Sport,,,,,,
Gerard Butler,Michael C. Hall,Ludacris,2009,tt1034032,add,Thriller,,Brian Taylor,,,,,,,
Charlie Sheen,Tom Berenger,Willem Dafoe,1986,tt0091763,add,War,,,,,,,,,
Woody Allen,Penélope Cruz,Jesse Eisenberg,2012,tt1859650,add,,,,,,,,,,
Kristen Stewart,Robert Pattinson,Taylor Lautner,2009,tt1259571,add,Fantasy,Romance,,,,,,,,
Radha Mitchell,Laurie Holden,Sean Bean,2006,tt0384537,add,,,,,,,,,,
Franka Potente,Matt Damon,Chris Cooper,2002,tt0258463,add,Thriller,,,,,,,,,
Josh Stewart,Emma Fitzpatrick,Christopher McDonald,2012,tt1748227,add,Thriller,,,,,,,,,
Ron Perlman,Doug Jones,Selma Blair,2004,tt0167190,add,Fantasy,Sci-Fi,,,,,,,,
Reese Witherspoon,Patrick Dempsey,Josh Lucas,2002,tt0256415,add,,,,,,,,,,
Michelle Williams,Eddie Redmayne,Kenneth Branagh,2011,tt1655420,add,,,,,,,,,,
Justin Long,Jess Weixler,Tyler Labine,2012,tt1885300,add,,,,,,,,,,
Brittany Snow,June Squibb,Jeffrey Combs,2012,tt1999995,add,,,,,,,,,,
John Cusack,Alice Eve,Luke Evans,2012,tt1486192,add,Thriller,,,,,,,,,
